id_produto,tipo,temperatura_ar,temperatura_processo,umidade_relativa,velocidade_rotacional,torque,desgaste_da_ferramenta,falha_maquina,falha_desgaste_ferramenta,falha_dissipacao_calor,falha_potencia,falha_tensao_excessiva,falha_aleatoria
L50785,L,301.7,309.9485790946597,90.0,1641.0,31.9,94.0,0,0,0,0,0,0
L48232,L,296.7,307.7,90.0,1927.0,23.9,112.0,0,0,0,0,0,0
M19016,M,299.6,310.5,90.0,1823.0,25.1,87.0,0,0,0,0,0,0
L56856,L,299.0,310.1,90.0,1886.0,,94.0,0,0,0,0,0,0
L47279,L,298.8,308.8,90.0,1523.0,44.4,55.0,0,0,0,0,0,0
M22368,M,300.5,311.9,90.0,1730.0,27.5,209.0,0,0,0,0,0,0
L48636,L,299.0,310.3,90.0,1483.0,43.0,91.0,0,0,0,0,0,0
L54868,L,300.6,309.9485790946597,90.0,1553.0,39.8,0.0,0,0,0,0,0,0
L51184,L,302.0,311.1,90.0,1373.0,55.7,94.0,0,0,0,0,0,0
M21726,M,301.0,309.8,90.0,1454.0,41.5,57.0,0,0,0,0,0,0
L51689,L,302.4,310.1,90.0,1429.0,43.7,104.0,0,0,0,0,0,0
L50479,L,299.6,310.5,90.0,1390.0,45.8,94.0,0,0,0,0,0,0
L50979,L,302.2,310.9,90.0,1506.0,34.0,94.0,0,0,0,0,0,0
L51461,L,302.0,310.0,90.0,1483.0,22.9,178.0,0,0,0,0,0,0
L56231,L,297.4,308.6,90.0,1820.0,24.6,79.0,0,0,0,0,0,0
H35876,H,300.6,310.0,90.0,1483.0,44.0,97.0,0,0,0,0,0,0
L55092,L,299.8752482392333,309.8,90.0,1498.0,44.0,155.0,0,0,0,0,0,0
M16274,M,298.7,309.8,90.0,1570.0,42.1,200.0,0,0,0,0,0,0
L47720,L,297.4,309.4,90.0,1473.0,45.5,94.0,0,0,0,0,0,0
L52995,L,301.2,311.0,90.0,1670.0,33.0,200.0,0,0,0,0,0,0
L55379,L,299.2,310.7,90.0,1737.0,27.0,225.0,1,1,0,0,0,0
L50860,L,302.2,311.5,90.0,1483.0,31.2,172.0,0,0,0,0,0,0
M15614,M,296.9,308.1,90.0,1483.0,44.3,219.0,0,0,0,0,0,0
M19056,M,302.5,311.0,90.0,1563.0,35.6,190.0,0,0,0,0,0,0
L49830,L,299.9,309.6,90.0,1280.0,59.3,163.0,0,0,0,0,0,0
M19382,M,302.5,310.5,90.0,1918.0,21.6,131.0,0,0,0,0,0,0
L56699,L,299.0,310.1,90.0,1531.0,36.0,57.0,0,0,0,0,0,0
M17978,M,300.2,309.5,90.0,1483.0,46.9,23.0,0,0,0,0,0,0
L50908,L,302.3,311.3,90.0,1457.0,44.5,83.0,0,0,0,0,0,0
L51066,L,302.4,311.3,90.0,1392.0,50.5,51.0,0,0,0,0,0,0
H36521,H,300.9,310.5,90.0,1512.0,41.2,49.0,0,0,0,0,0,0
M22928,M,300.5,311.9,90.0,1483.0,35.2,97.0,0,0,0,0,0,0
L54505,L,299.9,310.4,90.0,1419.0,45.7,94.0,0,0,0,0,0,0
L55663,L,298.3,309.8,90.0,1618.0,31.5,108.0,0,0,0,0,0,0
L55947,L,297.5,308.6,90.0,1380.0,53.5,192.0,0,0,0,0,0,0
M21360,M,300.9,310.0,90.0,1416.0,46.6,201.0,0,0,0,0,0,0
L55606,L,299.1,310.5,90.0,1483.0,35.9,174.0,0,0,0,0,0,0
L55143,L,301.0,312.2,90.0,1510.0,39.9,61.0,0,0,0,0,0,0
L47781,L,297.9,309.7,90.0,2194.0,16.8,27.0,0,0,0,0,0,0
L56429,L,298.3,309.0,90.0,1483.0,32.2,179.0,0,0,0,0,0,0
L56099,L,297.2,308.3,90.0,1693.0,28.0,188.0,0,0,0,0,0,0
H36228,H,300.8,310.6,90.0,1465.0,44.1,136.0,0,0,0,0,0,0
L52591,L,302.8,312.6,90.0,1462.0,39.4,94.0,0,0,0,0,0,0
L55927,L,297.3,308.5,90.0,1483.0,42.0,142.0,0,0,0,0,0,0
L52702,L,302.6,311.9,90.0,1453.0,39.1,84.0,0,0,0,0,0,0
L48224,L,296.5,307.6,90.0,1512.0,43.6,92.0,0,0,0,0,0,0
L54514,L,299.8,310.4,90.0,1694.0,30.3,94.0,0,0,0,0,0,0
L48737,L,298.3,308.4,90.0,1585.0,30.6,127.0,0,0,0,0,0,0
M18599,M,302.2,309.9485790946597,90.0,1663.0,29.6,115.0,0,0,0,0,0,0
L50702,L,301.8,311.0,90.0,1651.0,32.5,104.04401305817885,0,0,0,0,0,0
L47360,L,298.2,308.3,90.0,1475.0,49.9,47.0,0,0,0,0,0,0
L49295,L,299.4,309.0,90.0,1404.0,47.3,86.0,0,0,0,0,0,0
L48879,L,298.1,307.7,90.0,1289.0,48.3,42.0,0,0,0,0,0,0
L48559,L,298.7,310.1,90.0,1620.0,34.8,112.0,0,0,0,0,0,0
L54409,L,299.8,309.8,90.0,1749.0,33.4,153.0,0,0,0,0,0,0
L56323,L,297.6,308.5,90.0,1452.0,42.6,116.0,0,0,0,0,0,0
H30032,H,298.2,310.0,90.0,1433.0,44.2,68.0,0,0,0,0,0,0
L50361,L,300.2,309.4,90.0,1527.0,37.0,194.0,0,0,0,0,0,0
M24711,M,298.5,309.3,90.0,1483.0,27.2,94.0,0,0,0,0,0,0
M16460,M,297.8,307.8,90.0,1543.0,43.7,8.0,0,0,0,0,0,0
H35377,H,300.4,310.7,90.0,1483.0,,94.0,0,0,0,0,0,0
L48795,L,297.8,307.9,90.0,1483.0,48.6,46.0,0,0,0,0,0,0
L53100,L,300.5,310.2,90.0,1764.0,25.9,27.0,0,0,0,0,0,0
L56771,L,299.2,309.8,90.0,1570.0,37.3,37.0,0,0,0,0,0,0
L51071,L,302.2,309.8,90.0,1418.0,47.0,61.0,0,0,0,0,0,0
H31497,H,299.4,309.3,90.0,1743.0,28.2,94.0,0,0,0,0,0,0
M19434,M,302.9,311.0,90.0,1402.0,40.7,52.0,0,0,0,0,0,0
L52774,L,302.6,311.9,90.0,1598.0,35.5,69.0,0,0,0,0,0,0
L52301,L,299.6,313.6,90.0,1469.0,40.0,154.0,0,0,0,0,0,0
M19447,M,302.8,311.0,90.0,1507.0,33.4,82.0,0,0,0,0,0,0
L52082,L,303.6,309.8,90.0,1616.0,,94.0,0,0,0,0,0,0
L55432,L,299.0,310.4,90.0,1483.0,36.1,127.0,0,0,0,0,0,0
L53096,L,299.8752482392333,310.2,90.0,1555.0,41.9,19.0,0,0,0,0,0,0
M19989,M,304.1,313.3,90.0,1725.0,28.3,177.0,0,0,0,0,0,0
M23194,M,298.8,309.7,90.0,1459.0,47.3,141.0,0,0,0,0,0,0
M16778,M,298.1,307.9,90.0,1496.0,40.0,94.0,0,0,0,0,0,0
L55510,L,298.8,309.7,90.0,1483.0,39.0,131.0,0,0,0,0,0,0
L52887,L,302.4,311.8,90.0,1448.0,43.4,141.0,0,0,0,0,0,0
M20244,M,302.9,312.4,90.0,1421.0,46.0,206.0,0,0,0,0,0,0
L53516,L,300.4,309.8,90.0,1395.0,48.1,201.0,0,0,0,0,0,0
M16914,M,299.6,309.4,90.0,1605.0,29.8,142.0,0,0,0,0,0,0
M22472,M,300.5,311.4,90.0,1743.0,27.6,46.0,0,0,0,0,0,0
M24069,M,299.6,309.0,90.0,1393.0,55.9,79.0,0,0,0,0,0,0
H33377,H,302.3,311.5,90.0,1526.0,38.2,47.0,0,0,0,0,0,0
L48306,L,296.8,309.8,90.0,1706.0,30.8,111.0,0,0,0,0,0,0
L50608,L,301.6,310.6,90.0,1483.0,49.4,164.0,0,0,0,0,0,0
M19461,M,303.0,311.1,90.0,1372.0,54.3,117.0,1,0,1,0,0,0
M18581,M,302.2,311.2,90.0,1544.0,43.6,63.0,0,0,0,0,0,0
L49569,L,299.6,308.5,90.0,1867.0,27.0,138.0,0,0,0,0,0,0
H30736,H,298.9,310.1,90.0,1452.0,49.9,187.0,0,0,0,0,0,0
M16463,M,297.8,307.8,90.0,1521.588947810716,32.1,18.0,0,0,0,0,0,0
L54404,L,299.8,309.6,90.0,1598.0,31.0,139.0,0,0,0,0,0,0
M22285,M,300.0,311.4,90.0,1791.0,24.1,213.0,0,0,0,0,0,0
H33750,H,301.6,309.9,90.0,1423.0,53.6,95.0,0,0,0,0,0,0
L52773,L,302.6,309.8,90.0,1354.0,48.0,67.0,0,0,0,0,0,0
L51591,L,302.5,310.3,90.0,1688.0,31.6,66.0,0,0,0,0,0,0
L53038,L,301.3,311.0,90.0,1348.0,44.5,78.0,0,0,0,0,0,0
M24203,M,298.3,308.8,90.0,1391.0,50.4,13.0,0,0,0,0,0,0
L51171,L,302.3,311.3,90.0,1521.588947810716,34.4,127.0,0,0,0,0,0,0
M20939,M,300.8,310.7,90.0,1371.0,44.7,205.0,0,0,0,0,0,0
L48739,L,298.2,308.3,90.0,1458.0,41.8,132.0,0,0,0,0,0,0
L51862,L,303.6,311.8,90.0,1567.0,31.7,94.0,0,0,0,0,0,0
M22417,M,300.4,311.5,90.0,1750.0,27.3,116.0,0,0,0,0,0,0
L50952,L,302.4,311.1,90.0,1448.0,44.8,195.0,0,0,0,0,0,0
M23639,M,297.5,308.6,90.0,1349.0,51.5,21.0,0,0,0,0,0,0
M18317,M,301.5,310.4,90.0,2639.0,12.0,21.0,1,0,0,1,0,0
M23243,M,298.8,309.9,90.0,1495.0,35.2,60.0,0,0,0,0,0,0
L48534,L,298.6,310.0,90.0,1334.0,48.0,42.0,0,0,0,0,0,0
L47225,L,298.8,309.1,90.0,1489.0,,94.0,0,0,0,0,0,0
L57052,L,298.9,309.9,90.0,1373.0,52.1,108.0,0,0,0,0,0,0
H30162,H,296.7,308.1,90.0,1528.0,46.3,203.0,0,0,0,0,0,0
L55097,L,300.9,312.1,90.0,1474.0,42.4,171.0,0,0,0,0,0,0
L51421,L,302.4,311.0,90.0,1483.0,47.9,79.0,0,0,0,0,0,0
L52808,L,299.6,312.1,90.0,1688.0,32.0,155.0,0,0,0,0,0,0
L51837,L,303.1,311.2,90.0,1628.0,35.2,23.0,0,0,0,0,0,0
M19098,M,302.3,309.8,90.0,1521.0,34.8,94.0,0,0,0,0,0,0
L50640,L,301.5,310.3,90.0,1415.0,41.6,28.0,0,0,0,0,0,0
L54561,L,299.7,310.3,90.0,1483.0,43.1,101.0,0,0,0,0,0,0
H34963,H,302.3,311.9,90.0,1374.0,52.4,154.0,0,0,0,0,0,0
L54255,L,300.7,310.5,90.0,1536.0,47.4,192.0,0,0,0,0,0,0
M20698,M,301.4,311.2,90.0,1476.0,36.5,25.0,0,0,0,0,0,0
L55271,L,300.2,311.6,90.0,1375.0,56.9,155.0,0,0,0,0,0,0
M20334,M,302.7,312.1,90.0,1378.0,46.9,94.0,0,0,0,0,0,0
L50794,L,299.6,311.0,90.0,1483.0,33.3,4.0,0,0,0,0,0,0
L54681,L,300.2,311.7,90.0,1640.0,30.8,191.0,0,0,0,0,0,0
H36467,H,300.7,309.8,90.0,1567.0,38.7,94.0,0,0,0,0,0,0
M22227,M,299.5,310.1,90.0,1359.0,61.1,67.0,0,0,0,0,0,0
L55199,L,301.0,312.1,90.0,1483.0,30.7,200.0,0,0,0,0,0,0
H39052,H,299.3,310.4,90.0,1393.0,44.9,162.0,0,0,0,0,0,0
H38469,H,297.3,308.4,90.0,1864.0,23.1,90.0,0,0,0,0,0,0
L47844,L,297.5,308.9,90.0,1390.0,47.4,187.0,0,0,0,0,0,0
M17179,M,299.2,308.8,90.0,1700.0,33.5,185.0,0,0,0,0,0,0
L50722,L,301.8,310.9,90.0,1899.0,24.7,31.0,0,0,0,0,0,0
M18537,M,302.3,311.7,90.0,1368.0,53.6,165.0,0,0,0,0,0,0
L56779,L,299.0,310.1,90.0,1463.0,37.4,56.0,0,0,0,0,0,0
L50271,L,299.8752482392333,309.3,90.0,1558.0,29.7,168.0,0,0,0,0,0,0
M15535,M,297.8,309.1,90.0,1424.0,45.5,2.0,0,0,0,0,0,0
M23536,M,297.3,308.5,90.0,1520.0,42.4,94.0,0,0,0,0,0,0
H34298,H,299.6,312.5,90.0,1655.0,28.0,170.0,0,0,0,0,0,0
L55259,L,300.2,309.8,90.0,1528.0,36.1,125.0,0,0,0,0,0,0
L49142,L,297.8,307.5,90.0,1391.0,48.6,109.0,0,0,0,0,0,0
M16700,M,297.7,307.2,90.0,1405.0,43.7,2.0,0,0,0,0,0,0
L54348,L,300.3,310.3,90.0,1483.0,29.5,0.0,0,0,0,0,0,0
L57078,L,298.7,309.2,90.0,1396.0,44.8,178.0,0,0,0,0,0,0
L50718,L,302.0,311.1,90.0,1635.0,36.0,23.0,0,0,0,0,0,0
L55206,L,299.8752482392333,309.8,90.0,1399.0,50.2,222.0,1,0,0,0,1,0
L52046,L,303.6,309.9485790946597,90.0,1483.0,28.7,124.0,0,0,0,0,0,0
L51354,L,302.3,310.7,90.0,1499.0,37.8,104.04401305817885,0,0,0,0,0,0
L55268,L,300.1,311.4,90.0,1356.0,45.7,149.0,0,0,0,0,0,0
M19237,M,301.8,309.6,90.0,1436.0,49.0,214.0,0,0,0,0,0,0
L53391,L,300.8,310.6,90.0,1483.0,48.8,91.0,0,0,0,0,0,0
M19626,M,299.8752482392333,312.0,90.0,1645.0,35.7,81.0,0,0,0,0,0,0
L47591,L,297.5,309.8,90.0,1429.0,44.3,201.0,0,0,0,0,0,0
L47793,L,298.1,309.9,90.0,1634.0,30.0,53.0,0,0,0,0,0,0
L53306,L,300.9,310.9,90.0,1370.0,52.5,107.0,0,0,0,0,0,0
L52390,L,303.7,312.6,90.0,1466.0,42.5,183.0,0,0,0,0,0,0
L48610,L,298.9,310.0,90.0,1378.0,49.3,18.0,0,0,0,0,0,0
L49605,L,298.8,308.1,90.0,1472.0,53.5,28.0,0,0,0,0,0,0
L56021,L,297.3,308.7,90.0,1506.0,39.3,187.0,0,0,0,0,0,0
M18693,M,302.3,311.0,90.0,1483.0,36.6,94.0,0,0,0,0,0,0
L51898,L,303.3,311.6,90.0,1337.0,56.8,187.0,1,0,1,0,0,0
L54365,L,300.3,310.4,90.0,1672.0,29.2,39.0,0,0,0,0,0,0
L48597,L,298.7,309.9,90.0,1541.0,38.5,208.0,0,0,0,0,0,0
L54379,L,300.0,309.9,90.0,1507.0,41.4,74.0,0,0,0,0,0,0
L47784,L,297.9,309.9,90.0,1542.0,33.8,33.0,0,0,0,0,0,0
H30686,H,298.0,309.4,90.0,1562.0,38.1,58.0,0,0,0,0,0,0
M18824,M,302.3,309.9485790946597,90.0,1668.0,33.2,52.0,0,0,0,0,0,0
L53547,L,300.0,309.6,90.0,1571.0,33.1,65.0,0,0,0,0,0,0
L55926,L,297.3,308.5,90.0,1528.0,44.5,140.0,0,0,0,0,0,0
L47427,L,298.0,308.2,90.0,1469.0,45.5,214.0,0,0,0,0,0,0
L56406,L,298.0,309.1,90.0,1822.0,23.5,122.0,0,0,0,0,0,0
M16842,M,298.0,307.7,90.0,1487.0,41.3,160.0,0,0,0,0,0,0
L50015,L,300.3,309.2,90.0,1572.0,32.0,173.0,0,0,0,0,0,0
L52555,L,302.9,312.3,90.0,1530.0,34.9,94.0,0,0,0,0,0,0
L47379,L,298.4,308.6,90.0,1433.0,47.1,101.0,0,0,0,0,0,0
M15345,M,297.4,309.0,90.0,1685.0,30.7,177.0,0,0,0,0,0,0
L53263,L,300.9,310.7,90.0,1389.0,50.0,214.0,0,0,0,0,0,0
L56136,L,297.4,308.1,90.0,1483.0,57.4,66.0,0,0,0,0,0,0
L47635,L,297.4,308.7,90.0,1429.0,57.4,96.0,0,0,0,0,0,0
L56978,L,298.5,309.3,90.0,1471.0,44.7,94.0,0,0,0,0,0,0
M23686,M,297.2,308.8,90.0,1485.0,47.9,143.0,0,0,0,0,0,0
L53695,L,301.0,310.0,90.0,1480.0,43.5,21.0,0,0,0,0,0,0
L48901,L,298.2,307.7,90.0,1688.0,32.4,91.0,0,0,0,0,0,0
L54230,L,299.6,310.4,90.0,1457.0,47.7,94.0,0,0,0,0,0,0
L53562,L,299.6,309.8,90.0,1481.0,41.9,106.0,0,0,0,0,0,0
L55345,L,299.6,311.0,90.0,1552.0,33.2,139.0,0,0,0,0,0,0
M20627,M,301.6,311.2,90.0,1415.0,46.5,82.0,0,0,0,0,0,0
H35223,H,301.3,309.8,90.0,1580.0,36.6,184.0,0,0,0,0,0,0
L51806,L,303.0,311.2,90.0,1664.0,29.8,186.0,0,0,0,0,0,0
